COMMUNE,sd_a_01-students_admitted_exam,sd_a_01-total_students_sitting_exam,passing_exam,commune,supplies_received,commune,functional_water,commune,latrines_per_class,commune,assisted_births,commune,vac_total,commune,csps_val,commune,water_access,commune,projected_births
TENKODOGO,1755,2809,0.624777501,TENKODOGO,18.32352941,TENKODOGO ,73.52941176,TENKODOGO ,0.764705882,TENKODOGO ,0.626304024,TENKODOGO ,0.978440855,TENKODOGO ,0,TENKODOGO ,0.768019238,TENKODOGO ,0.32687531
TENSOBENTENGA,221,452,0.488938053,TENSOBENTENGA,19.6,TENSOBENTENGA ,60,TENSOBENTENGA ,0.7,TENSOBENTENGA ,0.56744186,TENSOBENTENGA ,0.948187785,TENSOBENTENGA ,1,TENSOBENTENGA ,0.9467152,TENSOBENTENGA ,0.189922481
TIEBELE,639,1215,0.525925926,TIEBELE,1.4,TIEBELE ,60,TIEBELE ,0.466666667,TIEBELE ,0.553311258,TIEBELE ,0.883034804,TIEBELE ,0,TIEBELE ,0.790097564,TIEBELE ,0.187748344
TIEFORA,390,922,0.422993492,TIEFORA,15.68,TIEFORA ,28,TIEFORA ,0.6,TIEFORA ,0.726185885,TIEFORA ,1.132119772,TIEFORA ,1,TIEFORA ,0.471729268,TIEFORA ,0.19475511
TIKARE,488,741,0.658569501,TIKARE,8.75,TIKARE ,55,TIKARE ,0.75,TIKARE ,0.669151911,TIKARE ,4.036296077,TIKARE ,1,TIKARE ,0.889421129,TIKARE ,0.244641193
TIN-AKOFF,138,344,0.401162791,TIN-AKOFF,9.1,TIN-AKOFF ,30,TIN-AKOFF ,0.2,TIN-AKOFF ,0.281081081,TIN-AKOFF ,0.994585103,TIN-AKOFF ,0,TIN-AKOFF ,0.208587996,TIN-AKOFF ,0.081081081
TITABE,87,123,0.707317073,TITABE,22.90909091,TITABE ,36.36363636,TITABE ,0.636363636,TITABE ,1.049920761,TITABE ,1.082674318,TITABE ,0,TITABE ,0.618320306,TITABE ,0.013470681
TOECE,555,980,0.566326531,TOECE,8.235294118,TOECE ,52.94117647,TOECE ,0.647058824,TOECE ,0.850200114,TOECE ,0.956721322,TOECE ,0,TOECE ,0.875229493,TOECE ,0.088050314
TOEGHIN,224,458,0.489082969,TOEGHIN,23.1,TOEGHIN ,60,TOEGHIN ,0.9,TOEGHIN ,0.428100988,TOEGHIN ,0.816272221,,,TOEGHIN ,0.844720497,TOEGHIN ,0.152579583
TONGOMAYEL,325,495,0.656565657,TONGOMAYEL,15.84210526,TONGOMAYEL ,31.57894737,TONGOMAYEL ,0.473684211,TONGOMAYEL ,0.611317945,TONGOMAYEL ,1.022187852,TONGOMAYEL ,0.666666667,TONGOMAYEL ,0.406906152,TONGOMAYEL ,0.424671134
TOUGOURI,650,892,0.728699552,TOUGOURI,25.2,TOUGOURI ,72,TOUGOURI ,0.76,Tougouri ,0.823529412,Tougouri ,1.050904702,TOUGOURI ,0,TOUGOURI ,0.665840132,TOUGOURI ,0.469256382
WOLONKOTO,111,127,0.874015748,WOLONKOTO,4.2,WOLONKOTO ,0,WOLONKOTO ,0.4,WOLONKOTO ,0.99537037,WOLONKOTO ,0.941249026,WOLONKOTO ,0,WOLONKOTO ,0.59082218,WOLONKOTO ,0.175925926
YALGO,434,637,0.681318681,YALGO,24.26666667,YALGO ,80,YALGO ,0.466666667,Yalgo ,0.954545455,Yalgo ,1.136312647,YALGO ,0,YALGO ,0.487419355,YALGO,0.270365998
YARGATENGA,523,925,0.565405405,YARGATENGA,6.533333333,YARGATENGA ,73.33333333,YARGATENGA ,0.333333333,YARGATENGA ,0,YARGATENGA ,1.10211393,YARGATENGA ,0,YARGATENGA ,0.466457225,YARGATENGA ,0.588208821
YARGO,159,426,0.373239437,YARGO,37.33333333,YARGO ,66.66666667,YARGO ,0.777777778,YARGO ,0.680073126,YARGO ,0.90459996,YARGO ,0,YARGO ,0.955816757,YARGO ,0.709323583
YONDE,312,518,0.602316602,YONDE,17.5,YONDE ,60,YONDE ,0.7,YONDE ,0,YONDE ,0.862943009,YONDE ,0.25,YONDE ,0.650215381,YONDE ,0.326315789
ZABRE,1424,2425,0.587216495,ZABRE,22.75,ZABRE ,60,ZABRE ,0.6,ZABRE ,0.808185053,ZABRE ,1.097624965,ZABRE ,0.333333333,ZABRE ,0.662971035,ZABRE ,0.770106762
ZAM,471,622,0.757234727,ZAM,1.272727273,ZAM ,54.54545455,ZAM ,0.818181818,ZAM ,0.799029519,ZAM ,0.947691134,ZAM ,0,ZAM ,0.775877919,ZAM ,1.101496159
ZECCO,349,522,0.668582375,ZECCO,18.9,ZECCO ,50,ZECCO ,0.7,ZECCO ,0.546534653,ZECCO ,0.863216145,ZECCO ,0,ZECCO ,0.931428066,ZECCO ,0.261386139
ZEGUEDEGUIN,213,422,0.504739336,ZEGUEDEGUIN,9.1,ZEGUEDEGUIN ,80,ZEGUEDEGUIN ,0.9,Zeguedeguin ,0.589777195,Zeguedeguin ,0.919226836,ZEGUEDEGUIN ,0,ZEGUEDEGUIN ,0.824550503,ZEGUEDEGUIN ,0.212975098
ZIGA,360,405,0.888888889,ZIGA,14.46666667,ZIGA ,66.66666667,ZIGA ,0.666666667,ZIGA ,0.668647166,ZIGA ,0.976787419,ZIGA ,0,ZIGA ,0.665126962,ZIGA ,0.241316271
ZIMTENGA,198,422,0.469194313,ZIMTENGA,0,ZIMTENGA ,70,ZIMTENGA ,0.8,ZIMTENGA ,0.807639836,ZIMTENGA ,2.510550426,ZIMTENGA ,0,ZIMTENGA ,0.804087645,ZIMTENGA ,0.284447476
ZINIARE ,1122,1575,0.712380952,ZINIAR•À_•À_•À_•À_,0.56,ZINIAR•À_•À_•À_•À_ ,56,ZINIAR•À_•À_•À_•À_ ,0.44,ZINIAR•À_•À_•À_•À_ ,0.857020548,ZINIAR•À_•À_•À_•À_ ,0.986854757,ZINIARE ,0.857142857,ZINIARE,0.794647851,ZINIARE,0.401826484
ZIOU,240,376,0.638297872,ZIOU,22.4,ZIOU ,50,ZIOU ,0.8,ZIOU ,0.433305717,ZIOU ,0.774124433,ZIOU ,0,ZIOU ,0.818878969,ZIOU ,0.097763049
ZITENGA,503,852,0.590375587,ZITENGA,33.6875,ZITENGA ,68.75,ZITENGA ,0.5625,ZITENGA ,0.746255884,ZITENGA ,0.965676757,ZITENGA ,1,ZITENGA ,0.849660696,ZITENGA ,0.291827129
ZOAGA,222,275,0.807272727,ZOAGA,0,ZOAGA ,22.22222222,ZOAGA ,0.444444444,ZOAGA ,0.587318087,ZOAGA ,0.968966324,ZOAGA ,0,ZOAGA ,0.637112403,ZOAGA ,0.098752599
ZONSE,298,429,0.694638695,ZONSE,3.5,ZONSE ,70,ZONSE ,0.6,ZONSE ,0.810606061,ZONSE ,1.227418311,ZONSE ,0,ZONSE ,0.730799683,ZONSE ,1.415289256
ZORGHO,883,1664,0.530649038,ZORGHO,2.8,ZORGHO ,70,ZORGHO ,0.85,ZORGHO ,0.999295278,ZORGHO ,0.9891179,ZORGHO ,0.571428571,ZORGHO ,0.907111126,ZORGHO ,0.454193094
ZOUNGOU,186,457,0.407002188,ZOUNGOU,14.7,ZOUNGOU ,80,ZOUNGOU ,0.7,ZOUNGOU ,0.977934486,ZOUNGOU ,0.955193467,ZOUNGOU ,0.333333333,ZOUNGOU ,0.774730868,ZOUNGOU ,0.121929026
